timestamp,hl_market_time,hl_coin,hl_bid_px_0,hl_bid_sz_0,hl_bid_n_0,hl_bid_px_1,hl_bid_sz_1,hl_bid_n_1,hl_bid_px_2,hl_bid_sz_2,hl_bid_n_2,hl_bid_px_3,hl_bid_sz_3,hl_bid_n_3,hl_bid_px_4,hl_bid_sz_4,hl_bid_n_4,hl_ask_px_0,hl_ask_sz_0,hl_ask_n_0,hl_ask_px_1,hl_ask_sz_1,hl_ask_n_1,hl_ask_px_2,hl_ask_sz_2,hl_ask_n_2,hl_ask_px_3,hl_ask_sz_3,hl_ask_n_3,hl_ask_px_4,hl_ask_sz_4,hl_ask_n_4,poly_SPY_v,poly_SPY_vw,poly_SPY_o,poly_SPY_c,poly_SPY_h,poly_SPY_l,poly_t,poly_SPY_n,poly_QQQ_v,poly_QQQ_vw,poly_QQQ_o,poly_QQQ_c,poly_QQQ_h,poly_QQQ_l,poly_QQQ_n,poly_VXX_v,poly_VXX_vw,poly_VXX_o,poly_VXX_c,poly_VXX_h,poly_VXX_l,poly_VXX_n
2025-02-28 04:00:00-05:00,1740733201774,BTC,78974.0,3.90605,8,78973.0,0.61784,2,78972.0,0.44319,2,78971.0,0.87231,2,78970.0,0.4545,3,78975.0,1.75314,6,78976.0,0.37986,1,78977.0,0.37985,1,78978.0,0.37985,1,78979.0,1.86534,3,1961.0,586.6885,586.1,586.73,586.91,586.1,1740733200000,83,7767.0,501.6928,500.72,501.67,501.85,500.72,148,3817,46.8983,47.23,46.95,47.23,46.6,15
2025-02-28 04:01:00-05:00,1740733259907,BTC,79229.0,1.0425,2,79225.0,0.37866,1,79224.0,0.37867,1,79223.0,0.44178,2,79222.0,0.64389,2,79230.0,5.54226,9,79231.0,0.37863,1,79235.0,0.0631,1,79237.0,0.6931,2,79238.0,0.63,1,2986.0,586.6349,586.67,586.61,586.67,586.59,1740733260000,70,2377.0,501.682,501.72,501.57,501.74,501.56,68,324,46.9998,47.0,47.0,47.0,47.0,27
2025-02-28 04:02:00-05:00,1740733319883,BTC,79193.0,17.82629,11,79192.0,3.64925,5,79191.0,5.49754,4,79190.0,0.67993,3,79189.0,3.40225,2,79194.0,3.28524,6,79196.0,0.63,1,79197.0,1.5213,3,79198.0,1.51,2,79199.0,1.663,3,2053.0,586.658,586.68,586.57,586.69,586.57,1740733320000,37,6461.0,501.5365,501.5,501.52,501.65,501.49,149,1262,46.9902,46.99,46.99,46.99,46.99,24
2025-02-28 04:03:00-05:00,1740733379859,BTC,79089.0,1.7613,4,79085.0,0.77,1,79083.0,0.19075,2,79082.0,1.00935,2,79081.0,0.44257,2,79090.0,2.31469,5,79094.0,1.76771,2,79095.0,4.41869,6,79097.0,0.55485,2,79098.0,0.125,1,641.0,586.5597,586.56,586.56,586.56,586.56,1740733380000,32,2255.0,501.437,501.41,501.37,501.48,501.37,70,1416,47.0,47.0,47.0,47.0,47.0,34
2025-02-28 04:05:00-05:00,1740733501161,BTC,79114.0,0.12753,1,79106.0,0.21278,1,79105.0,1.74472,3,79103.0,0.20766,2,79100.0,1.002,2,79118.0,3.22182,3,79119.0,0.01696,2,79120.0,0.91449,4,79121.0,3.39723,11,79122.0,1.22822,3,1015.0,586.6376,586.6,586.7,586.7,586.6,1740733500000,35,6184.0,501.5335,501.5,501.62,501.65,501.5,112,165,46.9741,46.98,46.98,46.98,46.98,6
2025-02-28 04:07:00-05:00,1740733621146,BTC,79078.0,22.91101,9,79077.0,0.37937,1,79076.0,0.37938,1,79075.0,0.37938,1,79074.0,0.39069,2,79079.0,2.69634,8,79080.0,0.0113,1,79081.0,8.74636,5,79082.0,0.0072,1,79083.0,0.31602,2,755.0,586.8241,586.87,586.87,586.87,586.87,1740733620000,26,6130.0,501.8186,501.72,501.89,501.91,501.72,68,1783,46.9392,46.94,46.94,46.94,46.94,25
2025-02-28 04:10:00-05:00,1740733800033,BTC,79411.0,0.00015,1,79410.0,0.00015,1,79409.0,0.00015,1,79399.0,0.00629,1,79393.0,0.87057,2,79412.0,0.125,1,79413.0,12.41383,18,79414.0,27.13182,30,79415.0,0.87765,7,79416.0,0.441,3,406.0,586.7131,586.73,586.73,586.73,586.73,1740733800000,21,1746.0,501.8446,501.93,501.75,501.93,501.75,51,300,46.91,46.93,46.9,46.93,46.9,3
2025-02-28 04:13:00-05:00,1740733979698,BTC,79322.0,0.88015,2,79321.0,0.88015,2,79320.0,0.77,1,79319.0,1.42518,3,79318.0,3.146,4,79323.0,5.36852,7,79324.0,2.90111,3,79325.0,1.04424,4,79326.0,1.00818,2,79327.0,0.37818,1,2343.0,586.9784,586.89,587.0,587.0,586.89,1740733980000,32,1853.0,501.9457,501.89,502.02,502.02,501.89,40,685,46.8656,46.87,46.86,46.87,46.86,8
2025-02-28 04:21:00-05:00,1740734460579,BTC,79301.0,0.28474,2,79300.0,0.00019,1,79299.0,16.25992,16,79298.0,0.76606,4,79297.0,4.1395,6,79316.0,2.95394,2,79324.0,0.63,1,79325.0,1.01333,1,79328.0,0.06302,1,79330.0,0.06302,1,600.0,586.979,587.02,586.97,587.02,586.97,1740734460000,14,1702.0,502.1583,502.17,502.1,502.23,502.1,34,1499,46.7213,46.73,46.7,46.73,46.7,13
2025-02-28 04:25:00-05:00,1740734699840,BTC,79740.0,1.55476,4,79738.0,2.30701,6,79735.0,11.24078,13,79732.0,0.39798,3,79731.0,0.12536,1,79741.0,0.00627,1,79749.0,0.009,1,79754.0,0.6826,1,79755.0,0.00626,1,79760.0,0.03609,1,321.0,587.1507,587.16,587.16,587.16,587.16,1740734700000,16,640.0,502.2801,502.29,502.29,502.29,502.29,29,1684,46.6812,46.7,46.68,46.7,46.68,28
2025-02-28 04:38:00-05:00,1740735479878,BTC,80602.0,14.73592,16,80601.0,18.12338,4,80600.0,0.50255,3,80599.0,0.94423,2,80598.0,0.37221,1,80603.0,0.04319,1,80606.0,0.0126,2,80607.0,0.0063,1,80609.0,0.0063,1,80612.0,0.32777,4,452.0,586.9244,586.92,586.93,586.93,586.92,1740735480000,13,2120.0,501.9141,501.85,501.81,501.94,501.81,35,325,46.6969,46.7,46.7,46.7,46.7,9
2025-02-28 04:50:00-05:00,1740736201051,BTC,80172.0,0.49893,1,80169.0,2.65546,9,80168.0,0.50956,3,80167.0,0.37421,1,80166.0,4.7406,3,80178.0,0.42883,1,80179.0,0.00623,1,80180.0,1.02368,5,80181.0,0.37415,1,80182.0,0.37414,1,346.0,586.9798,587.0,587.0,587.0,587.0,1740736200000,9,1000.0,501.9352,501.93,501.94,501.94,501.93,23,173,46.64,46.64,46.64,46.64,46.64,2
2025-02-28 04:54:00-05:00,1740736441109,BTC,80499.0,0.11075,1,80495.0,0.11075,1,80492.0,13.20542,16,80491.0,0.0113,1,80489.0,0.00019,1,80500.0,0.28538,1,80502.0,0.00621,1,80503.0,0.00045,1,80504.0,0.0066,1,80506.0,0.0003,1,454.0,586.8893,586.83,586.83,586.83,586.83,1740736440000,12,376.0,501.8513,501.84,501.84,501.84,501.84,22,2179,46.6443,46.66,46.63,46.66,46.63,12
2025-02-28 04:55:00-05:00,1740736501150,BTC,80331.0,9.36764,14,80330.0,1.77997,4,80329.0,1.56572,6,80328.0,0.4936,3,80327.0,0.37984,2,80332.0,0.03852,1,80333.0,0.013,1,80334.0,0.013,1,80335.0,0.39273,3,80336.0,0.38643,2,300.0,586.8095,586.85,586.85,586.85,586.85,1740736500000,10,5803.0,501.7202,501.73,501.71,501.75,501.7,61,779,46.7295,46.73,46.73,46.73,46.73,14
2025-02-28 04:56:00-05:00,1740736562114,BTC,80316.0,1.75692,3,80315.0,0.49806,1,80314.0,0.32853,1,80313.0,0.28481,1,80311.0,6.30996,11,80317.0,4.1765,3,80318.0,1.00519,2,80320.0,0.02205,2,80323.0,0.0063,1,80325.0,3.58838,2,219.0,586.8031,586.75,586.75,586.75,586.75,1740736560000,13,2201.0,501.6787,501.69,501.68,501.69,501.68,32,330,46.7278,46.73,46.73,46.73,46.73,10
2025-02-28 05:00:00-05:00,1740736802731,BTC,80335.0,1.55271,5,80333.0,0.02139,2,80332.0,0.1242,2,80331.0,0.37345,1,80330.0,0.37345,1,80336.0,2.94821,5,80337.0,1.29115,3,80339.0,0.6574,4,80340.0,0.24488,3,80341.0,0.3734,1,921.0,587.0019,587.0,587.0,587.0,587.0,1740736800000,14,513.0,501.937,501.94,501.94,501.94,501.94,15,1200,46.7217,46.73,46.72,46.73,46.72,18
2025-02-28 05:10:00-05:00,1740737399797,BTC,79722.0,4.62858,11,79721.0,0.37646,2,79720.0,0.37631,1,79719.0,0.78661,4,79718.0,4.12585,4,79723.0,3.8258,3,79724.0,5.86656,5,79725.0,13.88692,7,79726.0,4.41421,1,79728.0,4.45599,1,230.0,586.8227,586.85,586.85,586.85,586.85,1740737400000,16,973.0,501.6284,501.61,501.67,501.67,501.61,35,4992,46.8336,46.83,46.85,46.85,46.83,61
